date.sampled,start.time,end.time,date.measured,gear ,trap.number,vessel,sampler,latitude,longitude,depth.meters,protection,crab.number,sex,shell.condition,carapace.width,chela.height,durometer,hemolymph,frozen.leg,photo.number,missing.legs,colorimeter.chela.L,colorimeter.chela.a,colorimeter.chela.b,colorimeter.merus.L,colorimeter.merus.a,colorimeter.merus.b,comment
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,1,male,3M,104.38,22.25,80,2.5,y,427; 428,xxxxxxxxxx,52.92,1.95,14.84,45.83,2.16,7.63,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,2,male,3M,116.84,25.78,68,4.9,y,430; 431,xxxx1xxxxx,57.67,-1.6,12.88,52.62,-2.24,5.48,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,3,male,3,122.15,29.36,69,2.2,y,432; 433,xx1xxxxxx1,59.12,-2.24,5.28,47.99,-1.63,0.43,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,4,male,3,100.6,23.59,74,6.2,y,434; 435,xxxxxxxxxx,55.05,0,10.26,45.59,0.91,5.3,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,5,male,3M,120.45,35.03,80,3.8,y,436; 437,xxxxxxxxxx,57.31,-0.21,15.13,56.73,-0.67,7.79,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,6,male,4,98.65,20.24,62,7.2,y,438; 439; 440; 442,xxxx1xxx1x,46.71,1.6,16.33,45.89,-1.58,6.22,crab from ghost gear ; placed in chiller
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,7,male,3,112.4,31.03,80,2.2,y,443; 444,xxxx1xxxxx,60.32,-1.66,7.92,48.44,-2.63,1.24,crab from ghost gear ; placed in chiller; only 1 NIR scan
2023-09-07,12:15,13:05,2023-09-08,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Boudreau,46 59.9397,60 59.0244,100,saranwrap,8,male,3M,89.19,20.74,72,7.8,y,445; 446,xxxxxxxxxx,48.82,1.33,15.91,46.7,1.3,7.96,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,9,male,3,115.28,28.06,66,2.6,y,449 to 452,x1xx1xx1xx,61.39,-1.62,5.54,47.63,-1.19,-0.17,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,10,male,3M,103.7,20.88,66,3.4,y,453; 454,xxxxxxxxxx,50.99,2.16,14.74,44.7,3.32,10.33,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,11,male,3,127.3,33.11,78,3.8,y,455; 456,xxxxxxxxxx,60.53,-2.75,12.46,52.27,-3.23,5.03,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,12,male,3,103.53,19.99,78,3.8,y,"457,458",xxx33xx1xx,47.59,2.08,12.51,42.29,2.31,7.28,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,13,male,3M,123.66,29.86,90,3.5,y,459; 460,xxxxxxxx11,60.89,-1.36,17.07,49.08,-1.71,5.72,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,14,male,3,122.04,35.94,90,4.8,y,461; 462,xxxx1xxxxx,62.35,-2.74,14.56,46.7,-2.19,4.79,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,15,male,3M,104.33,20.07,62,5.4,y,463; 464,xxxxxxxxxx,44.65,3.56,12.81,40.03,5.01,6.81,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,16,male,3M,128.97,36.75,94,4.2,y,465; 466,xxxxxx1xxx,63.15,-1.02,16.85,50.84,-0.89,7.61,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,17,male,3M,94.97,18.97,93,6,y,467; 468,xxxxxxxxxx,45.59,3.25,18.87,41.46,2.54,8.63,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,18,male,2,127.42,33.94,52,2,y,469; 470,xxxxxxxxxx,58.02,-2.21,4.83,49.16,1.2,4.96,crab from ghost gear ; placed in chiller; dead
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,19,male,3M,98.55,18.05,55,2,y,471; 472,xxx1xxxxxx,51.68,1.8,5.7,43.41,3.35,2.51,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,20,male,3M,100.2,16.89,63,5,y,473; 474,xxxxxx1xxx,48.14,2.56,13.01,45.77,1.2,9.33,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,21,male,3M,118.36,33.69,89,4.6,y,475; 476,xxxxxxxxxx,62.72,-2.38,13.14,53.65,0.32,6.59,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,22,male,3M,94.32,17.1,68,6.6,y,477; 478,xxxxxxxxxx,48.47,2.3,14.53,43.37,1.96,7.52,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,23,male,3M,109.68,31.75,78,3.6,y,479; 480,xxxx1xxxxx,59.35,-2.01,10.12,51.22,0.13,3.7,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,24,male,3,111.04,27.29,77,1.8,y,481; 482,xxxxxxxxxx,61.46,-1.61,4.63,51.35,-0.37,3.94,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,25,male,3M,91.1,17.82,58,6.4,y,483; 484,xxxxxxxxxx,45.5,3.18,17.72,43.3,1.56,9.92,crab from ghost gear ; placed in chiller; skip/reddish carapace
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,26,male,3M,110.59,23.08,67,4.8,y,485; 486; 487,x2xxxx1xx1,47.55,4.31,19.35,41.07,5.55,10.76,crab from ghost gear ; placed in chiller; reddish carapace; no leg
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,27,male,3M,105.45,27.32,88,4.6,y,488; 489,xxxxxxxxxx,58.99,-0.26,13.93,47.05,2.99,5.37,crab from ghost gear ; placed in chiller
2023-09-07,13:30,16:00,2023-09-09,recovered commercial trap,4,CCGS Perley,Moriyasu; LandryK; Allain,46 59.9397,60 59.0244,100,saranwrap,28,male,3M,91.34,18.55,70,5.4,y,490; 491,xxxxxxxxxx,42.23,2.72,12.48,45.64,1.07,7.91,crab from ghost gear ; placed in chiller
2023-09-08,13:30,16:00,2023-09-09,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,29,male,3,73.76,15.23,74,5.6,y,492; 493,xxxxxxxxxx,58.85,-1.085,3.95,48.29,-0.65,0.14,DFO traps
2023-09-08,13:30,16:00,2023-09-09,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,30,male,4,74.03,16.69,77,4.8,y,494; 495,xxxx1xxx1x,44.67,3.11,18.3,39.79,3.91,15.63,DFO traps
2023-09-08,13:30,16:00,2023-09-09,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,31,male,4,119.83,30.89,83,2.2,y,496 497,xxx1xxxxxx,55.59,1.49,21.51,46.57,0.05,13.03,DFO traps
2023-09-08,13:30,16:00,2023-09-09,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,32,male,4,120.43,31.08,83,5,y,498; 499,xxxxxxxxxx,51.58,1.19,20.05,49.78,-1.33,13.52,DFO traps
2023-09-08,13:30,16:00,2023-09-09,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,33,male,4,65.74,13.23,75,5.8,y,500; 501,211xxxxx11,44.12,2.96,11.31,41.58,2.56,8.85,DFO traps
2023-09-08,13:30,16:00,2023-09-09,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,34,male,4,89.28,21.69,72,6.4,y,502; 503,xxxx1xxxxx,50,0.01,15.14,48.82,-1.33,5.37,DFO traps
2023-09-08,13:30,16:00,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,35,male,4,112.5,29.4,85,3.6,y,505; 506,x1xxxxxxxx,43.88,8.42,20.04,50.51,0.65,12.63,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,36,male,4,99.19,19.81,50,3.6,y,507; 508,xxxxxxxxxx,44.81,1.98,15.33,48.36,-2.13,7.96,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,37,male,5,96,22.58,49,2.4,y,509; 510,xxxxxxxxxx,36.46,4.33,10.58,29.49,5,8.99,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,38,male,4,96.83,21.67,80,3.2,y,511; 512,x11xxxxx1x,47.49,2.15,19.75,33.98,4.31,13.23,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,39,male,4,88.92,19.65,84,8.6,y,513; 514,xxx1xxxxx1,49.26,1.63,19.47,42.87,1.55,12.76,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,40,male,4,80.88,18.74,70,4.8,y,515; 516,xxxxxxxxxx,44.95,1.27,16.67,39.17,2.9,15.4,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,41,male,5,84.52,19.1,80,5.4,y,517; 518,xxxxxxxxxx,47.1,1.12,17.86,42.24,4.31,18.07,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,42,male,4,62.64,11.68,66,6.8,y,519; 520,xxxxx2xxxx,45.35,1.58,15.45,41.5,0.51,11.52,DFO traps; crab too small for NIR?
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,43,male,4,77.75,18.69,79,4.8,y,521 ;522,1xxxxxx1x1,45.52,2.78,16.29,40.11,-0.02,13.72,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,44,male,4,75.02,13.59,63,6.4,y,523; 524,xxx1xxx11x,44.39,2.65,17.01,43.82,0.98,8,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,45,male,4,97.94,20.58,81,3,y,525; 526,xx1x1xxxxx,49.28,1.41,18.06,45.6,-0.09,16.32,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,46,male,4,111.96,28.5,76,2.8,y,527; 528,xxxxx11xxx,48.86,2.69,23.63,44.32,1.67,15.69,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,47,male,4,109.44,26.31,76,3.2,n,529; 530,x1xxxx1x1x,48.33,0.74,16.9,47.53,-1.24,8.07,DFO traps; 3rd leg used for NIR and colorimeter
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,48,male,4,114.54,31.37,83,6.8,y,531; 532,xxx1x1xx1x,52.17,1.07,19.36,51.01,-1.29,11.4,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,49,male,4,104.7,24.9,87,6,y,533; 534,xxxx1xx11x,50.87,1.91,20.91,49.26,-1.18,11.63,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,50,male,4,88.13,19.35,77,5.2,y,535; 536,x1xxxxxx1x,46.01,2.6,16.84,43.99,0.65,9.1,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,51,male,4,114.8,29.53,77,2,y,537; 538,xxxxxxxx11,54.35,1.15,18.4,49.68,0.46,14.72,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,52,male,5,79.19,17.96,69,2.2,y,541; 542,xxxxxxx1xx,43.52,3.52,16.59,41.45,2.61,13.15,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,53,male,4,109.61,27.81,87,3.4,y,543; 545,xxx3xxxxxx,52.19,2.89,20.42,46.57,-0.65,10.84,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,54,male,4,117.12,27.22,86,3,y,546; 547,xxx1xxxx1x,52.19,1.68,20.54,54.23,-1.32,11.23,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,55,male,5,86.97,21.19,68,7.6,y,548; 549,xxxxxx1xxx,47.93,2,17.64,45.05,1.57,18.2,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,56,male,5,73.27,15.15,*,2.8,y,550; 551,xx1x2xx1x1,31.58,3.71,6.25,35.01,5.85,13.86,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,57,male,4,97.02,20.75,79,3.6,y,554; 555,xxxx1xxxxx,44.73,4.19,16.45,46.1,3.28,17.14,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,58,male,5,79.06,16.73,59,3,y,556; 557,1xxx1x11x1,36.11,4.86,14.06,32.48,5.65,13.04,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,59,male,4,77.63,17.3,82,6.4,y,558; 559,xxx1xxxxx3,46.42,1.55,10.71,42.16,1.77,11.83,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,60,male,5,93.27,22.59,87,7.6,y,560; 561,xxxxxxxx1x,47.04,3.66,17.46,42.88,2.94,18.66,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,61,male,5,112.04,29.27,72,3.4,n,563; 564,xxx13x1333,38.92,6.01,10.89,35.43,5.96,8.3,DFO traps; dead crab
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,62,male,5,115.27,30.28,88,4,y,565; 566,x1xxxxxxxx,50.52,3.08,17.37,45.86,0.16,9.3,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,63,male,5,90.71,22.01,58,3,y,567; 568,xxxxxxx1xx,43.41,3.5,13.65,18.98,4.2,4.49,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,64,male,5,89.25,21.6,67,2.8,y,569; 570,xx31x1xxxx,40.76,4.68,14.81,45.3,1.89,16.4,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,65,male,5,70.24,14.47,63,4.2,y,571; 572,xxxxxx2x13,39.55,2.9,15.87,39.06,3.76,15.62,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,66,male,5,84.42,18.67,56,3,y,573; 574,xxxxxxxxxx,48.82,3.59,16.86,38.97,5.98,22.04,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,67,male,3,80.55,12.99,68,4,y,575; 576,xxxxxxxxxx,51.86,2.2,5.59,47.14,1,0.66,DFO traps; carapace condition 2-ish
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,68,male,3,86,15.5,72,4.6,y,577; 578,xxxxxxxxxx,54.55,1.86,6.73,45.77,5.28,2.09,DFO traps; carapace condition 2-ish
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,69,male,3,69.29,12.06,61,6.8,y,579; 580,xxxxxxxxxx,45.45,2.55,6.74,44.53,7.17,4.26,DFO traps; carapace condition 2-ish
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass,70,male,4,67.65,13.53,68,5,y,581; 582,11xxxxxxx1,42.89,3.24,13.47,43.93,0.56,8.37,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass vs saranwrap: Glass,71,male,4,114.1,27.65,*,*,n,583; 584,xxxxxxxxxx,62.53,-2.28,5.77,48.95,-2.39,5.29,DFO traps; merus only for NIR
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass vs saranwrap: saranwrap,71,male,4,114.1,27.65,*,*,n,583; 584,xxxxxxxxxx,62.99,-2.32,10.32,49.94,-2.57,3.68,DFO traps; merus only for NIR
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass vs saranwrap: Glass,72,male,4,110.83,22.86,*,*,n,585; 586,x2xxxxxxx1,50.44,2.86,16.11,44.08,4.45,10.09,DFO traps; carapace red-ish
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass vs saranwrap: saranwrap,72,male,4,110.83,22.86,*,*,n,585; 586,x2xxxxxxx1,49.17,5.77,17.6,43.12,5.27,10.65,DFO traps; carapace red-ish
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass vs saranwrap: Glass,73,male,4,121.76,31.22,*,*,n,587; 588,1xxxxxxxxx,55.48,-1.15,15.56,50.49,-1.02,7.77,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,Glass vs saranwrap: saranwrap,73,male,4,121.76,31.22,*,*,n,587; 588,1xxxxxxxxx,55.58,-1.06,16,50.08,-0.55,8.94,DFO traps
2023-09-08,8:00,11:30,2023-09-10,small conical experimental trap,1; 2; 3,CCGS Perley,Moriyasu; LandryK; Allain,46 49.8667,60 54.1591,93,saranwrap,74,male,3M,128.94,35.82,87,4.4,n,590; 591,xxxxxxxxxx,56.72,0.17,21.25,46.27,-0.93,5.97,DFO traps; demonstration for comms
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
